Curso;Abreviatura;Etapa
Administración de Sistemas Informáticos en Red;ASIR;CFGS
Administración y Finanzas;AF;CFGS
Educación Secundaría Obligatoria;ESO;ESO
Servicios Administrativos;SA;CFGB
Servicios Comerciales;SC;CFGB
Técnico en Cuidados Auxiliares de Enfermería;TCAE;CFGM
Instalaciones de Telecomunicaciones;IT;CFGM
Farmacia y Parafarmacia;FAR;CFGM
Gestión Administrativa;GA;CFGM
Operaciones de Laboratorio;OL;CFGM
Atención a Personas en Situación de Dependencia;APSD;CFGM
Actividades Comerciales;AC;CFGM
Guía en el Medio Natural y de Tiempo Libre;GMNTL;CFGM
Animación Sociocultural y Turística;ASCT;CFGS
Educación Infatil;EI;CFGS
Higiene Bucodental;HBD;CFGS
Imagen para el Diagnóstico y Medicina Nuclear;IDMN;CFGS
Integración Social;IS;CFGS
Química y Salud Ambiental;QSA;CFGS
Transporte y Logística;TL;CFGS
Bachillerato de Ciencias;CIE;BACH
Bachillearto de Humanidades y Ciencias Sociales;HCS;BACH
ESO1;ESO1;ESO
ESO2;ESO2;ESO
ESO3;ESO3;ESO
ESO4;ESO4;ESO
